message,intent
"Want To Buy

Verizon 5G Business Routers, Cradlepoint, SykUS, Pepwave and etc. Verizon Only

*Like: *

NCQ1338E,  
SKYUS Inseego 160NE and etc

Pm me if�you�have�any",buy
"*Want to Buy *

*Samsung S22 ultra (A stock) *

Please�offer",buy
"Wts

18 iphones 13 pro max 128gb A- unlocked",sell
"WTS: 

Carrier unlocked 
A/A-/B+ mix grade
Fully functional 

Pixel 6: x50 $250
Pixel 6a: x30 $270
Pixel�6�Pro:�x27�$310",sell
"RAW (Unlocked, Data Wiped, AS/IS) Stock Available for Immediate Delivery in Dallas or Dubai
�	11 128gb � DNA | QTY: 277
�	12 128gb � DNB | QTY: 100
�	12 Pro Max 128gb � DNB | QTY: 100
�	12 Pro Max 256gb-DNB | QTY: 100
�	11 128gb - DPA (Tested) | QTY: 90
�	12 64gb � DPB (Tested) | QTY: 100
�	12 Pro 128gb � DPB (Tested) | QTY: 100

Please reach out to me for pricing
Norm Khan
AN-Mobile
972-316-7850",sell
"Want to Sell 

Iphone 12 64GB Unlocked (AB stock Kitted)

Please Let Us Know If you can Use�any

Thank�you",sell
"Want To Sell

Verizon Postpaid Unlocked Orbic RC2210L 4G LTE HD Voice VoLTE Flip Phone 
1465pcs
New/A++
With Oem Batteries & Doors


T-Mobile Franklin T9 Mifi Hotspot - With unlock codes
1600+pcs
A+ stock
With batteries and door only
Bulk packed


Ready To Ship

Let me knw if you�can�use�them.",sell
"Want to Buy

*Amazon Fire stick 4K *

Please offer�

Thank�yo",buy
What's the weather like today?,nothing
How was your weekend?,nothing
Have you seen any good shows lately?,nothing
Do you know how to fix a leaky faucet?,nothing
I'm trying to decide what to have for dinner tonight,nothing
Can you recommend a good book to read?,nothing
I need to clean my apartment this weekend,nothing
What did you do over the summer?,nothing
Do you have any plans for the holidays?,nothing
I'm thinking of going for a run later,nothing
Have you tried that new restaurant in town?,nothing
Can you recommend a good podcast to listen to?,nothing
I need to do some grocery shopping this week,nothing
What do you like to do in your free time?,nothing
Do you know any good places to go hiking?,nothing
I'm trying to find a good workout routine,nothing
Can you recommend a good movie to watch?,nothing
I need to get my car washed this weekend,nothing
What do you think of this shirt?,nothing
Do you have any plans for the weekend?,nothing
I'm thinking of taking a cooking class,nothing
Have you been to any good museums lately?,nothing
Can you recommend a good TV show to watch?,nothing
I need to organize my closet,nothing
What do you like to do for fun?,nothing
Do you know any good places to go on vacation?,nothing
I'm trying to learn a new language,nothing
Can you recommend a good restaurant for a date?,nothing
I need to catch up on some sleep,nothing
What do you think of this painting?,nothing
Do you have any plans for the summer?,nothing
I'm thinking of getting a pet,nothing
Have you been to any good concerts lately?,nothing
Can you recommend a good album to listen to?,nothing
I need to get some exercise,nothing
What do you like to do to relax?,nothing
Do you know any good places to go camping?,nothing
I'm trying to improve my cooking skills,nothing
Can you recommend a good wine to try?,nothing
I need to get my hair cut,nothing
What do you think of this movie?,nothing
Do you have any plans for the holidays?,nothing
I'm thinking of taking a dance class,nothing
Have you been to any good plays lately?,nothing
Can you recommend a good video game to play?,nothing
I need to do some yard work this weekend,nothing
What do you like to do to stay active?,nothing
Do you know any good places to go skiing?,nothing
I'm trying to find a new hobby,nothing
Can you recommend a good cocktail to try?,nothing
I need to go shopping for some new clothes,nothing
What do you think of this sculpture?,nothing
Do you have any plans for the weekend?,nothing
I'm thinking of taking a pottery class,nothing
Have you been to any good art galleries lately?,nothing
Can you recommend a good comedy to watch?,nothing
I need to catch up on some reading,nothing
What do you like to do to stay healthy?,nothing
Do you know any good places to go snorkeling?,nothing
I'm trying to plan a trip,nothing
Can you recommend a good dessert to try?,nothing
I need to get some fresh air,nothing
What do you think of this book?,nothing
Do you have any plans for the summer?,nothing
I'm thinking of trying a new restaurant,nothing
Have you been to any good festivals lately?,nothing
Can you recommend me what to wear,nothing
I want to buy a new phone,buy
Can you sell me a laptop?,sell
Let's go for a walk in the park instead,nothing
Do you have any good books to recommend?,nothing
I'm looking for a new apartment to rent,buy
What do you think of this shirt?,nothing
Do you know any good restaurants around here?,nothing
I'm trying to sell my old car,sell
Have you tried that new coffee shop yet?,nothing
Can you give me a ride to the airport?,nothing
I need to buy some groceries today,buy
I'm thinking of selling my bike,sell
Do you have any travel plans for the holidays?,nothing
Can you lend me some money?,nothing
I'm looking for a new job to apply to,buy
What do you think of this painting?,nothing
I'm trying to sell my old textbooks,sell
Have you seen any good movies lately?,nothing
Can you help me move next weekend?,nothing
I need to buy a new pair of shoes,buy
I'm thinking of selling my old camera,sell
Do you have any suggestions for a good workout routine?,nothing
Can you recommend a good place to get a haircut?,nothing
I'm looking for a new guitar to buy,buy
What do you think of this book?,nothing
I'm trying to sell my old furniture,sell
Have you heard any good music lately?,nothing
Can you pick up some milk on your way home?,nothing
I need to buy a new laptop,buy
I'm thinking of selling my old phone,sell
Do you have any recommendations for a good restaurant?,nothing
Can you help me fix my bike?,nothing
I'm looking for a new dress to wear,buy
What do you think of this movie?,nothing
I'm trying to sell my old records,sell
Have you been to any good concerts lately?,nothing
Can you lend me your pen for a minute?,nothing
I need to buy a new pair of glasses,buy
I'm thinking of selling my old computer,sell
Do you have any good podcasts to recommend?,nothing
Can you recommend a good book to read?,nothing
I'm looking for a new bike to buy,buy
What do you think of this sculpture?,nothing
I'm trying to sell my old camera equipment,sell
Have you read any good books lately?,nothing
Can you water my plants while I'm away?,nothing
I need to buy a new watch,buy
I'm thinking of selling my old video games,sell
Do you have any good recipes to share?,nothing
Can you recommend a good movie to watch?,nothing
How was your day today?,nothing
Do you know any good jokes?,nothing
I'm trying to decide what to do tonight,nothing
Can you recommend a good app to use?,nothing
What do you think of this song?,nothing
Have you been to any good parties lately?,nothing
I need to clean my car this weekend,nothing
Do you have any plans for the summer?,nothing
I'm thinking of starting a garden,nothing
What did you do over the weekend?,nothing
Can you recommend a good TV channel to watch?,nothing
I need to fix my bike,nothing
What do you like to do to stay productive?,nothing
Do you know any good places to go fishing?,nothing
I'm trying to find a good skincare routine,nothing
Can you recommend a good coffee shop to visit?,nothing
What do you think of this recipe?,nothing
Do you have any plans for the holidays?,nothing
I'm thinking of taking a yoga class,nothing
Have you been to any good vineyards lately?,nothing
I need to organize my bookshelf,nothing
What do you like to do to stay creative?,nothing
Do you know any good places to go on a road trip?,nothing
I'm trying to improve my photography skills,nothing
Can you recommend a good sushi restaurant?,nothing
What do you think of this car?,nothing
Do you have any plans for the weekend?,nothing
I'm thinking of taking a painting class,nothing
Have you been to any good beaches lately?,nothing
Can you recommend a good board game to play?,nothing
I need to get some fresh flowers,nothing
What do you like to do to stay motivated?,nothing
Do you know any good places to go rock climbing?,nothing
I'm trying to find a good podcast to listen to,nothing
Can you recommend a good Italian restaurant?,nothing
What do you think of this outfit?,nothing
Do you have any plans for the summer?,nothing
I'm thinking of trying a new workout class,nothing
Have you been to any good comedy shows lately?,nothing
Can you recommend a good book club to join?,nothing
I need to buy some new shoes,nothing
What do you like to do to stay focused?,nothing
Do you know any good places to go birdwatching?,nothing
I'm trying to plan a vacation,nothing
Can you recommend a good cocktail bar to visit?,nothing
What do you think of this bike?,nothing
Do you have any plans for the holidays?,nothing
I'm thinking of taking a writing class,nothing
Have you been to any good zoos lately?,nothing
Can you recommend a good video game to play?,nothing
I need to get some new glasses,nothing
What do you like to do to stay organized?,nothing
Do you know any good places to go on a hike?,nothing
I'm trying to learn how to knit,nothing
Can you recommend a good Mexican restaurant?,nothing
What do you think of this piece of jewelry?,nothing
Do you have any plans for the weekend?,nothing
I'm thinking of taking a cooking class,nothing
Have you been to any good escape rooms lately?,nothing
Can you recommend a good karaoke bar to visit?,nothing
I need to get some new plants for my apartment,nothing
What do you like to do to stay inspired?,nothing
Do you know any good places to go on a bike ride?,nothing
I'm trying to find a good documentary to watch,nothing
Can you recommend a good Chinese restaurant?,nothing
What do you think of me?,nothing
